Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,246357468,3160.641380418824,2977225,38.1962869248901,317737,4995412,64.08860266188789,49605,0.6364069940663465,4677,
United States of America,Americas,45635708,13787.113,501025,151.366,0,739856,223.52,8785,2.654,0
India,South-East Asia,34285814,2484.471,96040,6.959,12514,458437,33.22,3725,0.27,251
Brazil,Americas,21804094,10257.882,80535,37.888,10693,607694,285.894,2237,1.052,232
The United Kingdom,Europe,9019966,13286.93,285028,419.863,40726,140558,207.05,1097,1.616,166
Russian Federation,Europe,8513790,5833.982,272147,186.486,40993,238538,163.456,7938,5.439,1158
Turkey,Europe,8009040,9496.24,182027,215.828,23096,70410,83.484,1493,1.77,203
France,Europe,6937450,10666.541,38372,58.998,7285,115265,177.223,184,0.283,20
Iran (Islamic Republic of),Eastern Mediterranean,5916211,7043.7,64541,76.841,6809,126126,150.163,1074,1.279,128
Argentina,Americas,5288807,11701.995,8989,19.889,548,115950,256.551,127,0.281,8
Spain,Europe,5011149,10587.095,7329,15.484,0,87368,184.583,43,0.091,0
Colombia,Americas,5000677,9827.816,10996,21.61,1629,127258,250.1,226,0.444,33
Italy,Europe,4767440,7993.496,29978,50.264,4877,132074,221.447,272,0.456,37
Germany,Europe,4597550,5528.113,131393,157.987,16887,95729,115.105,629,0.756,33
Indonesia,South-East Asia,4244358,1551.734,3879,1.418,0,143405,52.429,170,0.062,0
Mexico,Americas,3805765,2951.744,22443,17.407,3478,288276,223.586,1930,1.497,325
Poland,Europe,3025247,7969.956,52320,137.836,7147,76999,202.852,552,1.454,9
Ukraine,Europe,2922302,6682.028,152897,349.609,17430,67729,154.867,3857,8.819,336
South Africa,Africa,2921886,4926.573,2554,4.306,297,89163,150.337,249,0.42,12
Philippines,Western Pacific,2787276,2543.574,30374,27.718,3410,43172,39.397,1379,1.258,128
Malaysia,Western Pacific,2471642,7636.539,39926,123.358,4979,28912,89.328,512,1.582,36
Peru,Americas,2200908,6675.111,5807,17.612,1032,200217,607.236,198,0.601,20
Netherlands,Europe,2123880,12200.888,47744,274.271,7999,18397,105.684,84,0.483,13
Iraq,Eastern Mediterranean,2054202,5107.098,9175,22.811,682,23138,57.525,201,0.5,27
Thailand,South-East Asia,1920189,2750.988,61032,87.438,8165,19260,27.593,461,0.66,55
Czechia,Europe,1762902,16485.058,33410,312.42,5081,30753,287.574,125,1.169,17
Japan,Western Pacific,1722864,1362.201,5926,4.685,254,18268,14.444,69,0.055,7
Canada,Americas,1712128,4536.381,13663,36.201,0,28952,76.71,207,0.548,0
Chile,Americas,1695048,8867.076,13220,69.156,2171,37757,197.513,88,0.46,14
Romania,Europe,1648031,8526.281,86103,445.464,7424,47751,247.045,3072,15.893,427
Bangladesh,South-East Asia,1569539,953.03,1558,0.946,0,27868,16.922,40,0.024,0
Belgium,Europe,1360650,11808.697,33118,287.422,0,25994,225.595,110,0.955,0
Israel,Europe,1326966,15330.827,4415,51.008,224,8085,93.408,28,0.323,0
Pakistan,Eastern Mediterranean,1272345,576.002,4400,1.992,658,28439,12.875,80,0.036,10
Sweden,Europe,1171512,11343.519,4629,44.822,0,15025,145.484,7,0.068,0
Serbia,Europe,1137820,16426.569,45344,654.626,6001,9890,142.781,442,6.381,64
Portugal,Europe,1089888,10585.641,5354,52.001,911,18156,176.342,27,0.262,3
Kazakhstan,Europe,1018841,5426.09,11886,63.302,1660,17131,91.235,198,1.054,19
Cuba,Americas,952001,8404.991,6251,55.189,676,8236,72.714,54,0.477,6
Morocco,Eastern Mediterranean,945960,2562.844,1884,5.104,240,14667,39.737,61,0.165,7
Viet Nam,Western Pacific,921122,946.307,32182,33.062,5519,22083,22.687,410,0.421,53
Switzerland,Europe,868896,10039.681,7173,82.881,0,10802,124.812,23,0.266,0
Hungary,Europe,863419,8837.88,19594,200.562,0,30729,314.539,237,2.426,0
Jordan,Eastern Mediterranean,860818,8436.8,11060,108.398,1022,11028,108.084,87,0.853,12
Austria,Europe,822264,9237.817,30554,343.262,6014,11072,124.39,77,0.865,10
Nepal,South-East Asia,812570,2788.809,2841,9.751,0,11407,39.15,46,0.158,0
United Arab Emirates,Eastern Mediterranean,739824,7480.222,634,6.41,88,2136,21.597,7,0.071,0
Greece,Europe,739448,6898.759,25165,234.78,4670,15894,148.285,296,2.762,38
Georgia,Europe,719247,18029.969,27007,677.007,3382,10045,251.806,303,7.596,42
Tunisia,Eastern Mediterranean,712581,6029.309,888,7.514,263,25238,213.544,89,0.753,7
Lebanon,Eastern Mediterranean,641339,9396.296,4027,59,664,8495,124.461,46,0.674,7
Guatemala,Americas,601402,3356.868,6737,37.604,2360,15050,84.005,395,2.205,122
Bulgaria,Europe,601035,8646.142,32962,474.172,2836,23918,344.071,885,12.731,46
Belarus,Europe,598132,6329.894,13942,147.545,1941,4614,48.829,115,1.217,18
Costa Rica,Americas,559698,10987.142,3728,73.182,0,7029,137.983,83,1.629,0
Saudi Arabia,Eastern Mediterranean,548571,1575.725,366,1.051,41,8793,25.257,17,0.049,3
Sri Lanka,South-East Asia,541073,2526.814,4428,20.679,0,13743,64.18,103,0.481,0
Azerbaijan,Europe,529109,5218.462,14820,146.166,2189,7049,69.522,180,1.775,28
Ecuador,Americas,515859,2923.865,227,1.287,0,32958,186.804,6,0.034,0
Bolivia (Plurinational State of),Americas,513584,4399.752,3875,33.196,472,18925,162.126,27,0.231,1
Myanmar,South-East Asia,500073,919.086,5099,9.371,0,18697,34.363,137,0.252,0
Slovakia,Europe,483773,8863.764,27335,500.836,4036,13034,238.811,131,2.4,16
Panama,Americas,472534,10951.553,1131,26.212,136,7315,169.534,8,0.185,0
Croatia,Europe,470348,11590.165,25023,616.609,3319,9220,227.196,182,4.485,22
Paraguay,Americas,461006,6463.422,305,4.276,32,16246,227.773,16,0.224,1
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,453547,8890.613,2358,46.222,210,4676,91.661,50,0.98,7
Ireland,Europe,443631,8936.174,15479,311.798,2966,5436,109.499,67,1.35,0
Kuwait,Eastern Mediterranean,412653,9662.713,147,3.442,12,2461,57.627,1,0.023,0
Lithuania,Europe,408715,14627.839,20469,732.582,2620,5873,210.194,235,8.411,40
Venezuela (Bolivarian Republic of),Americas,406239,1428.611,6572,23.112,794,4884,17.175,84,0.295,10
Uruguay,Americas,393718,11334.157,1689,48.622,264,6077,174.942,6,0.173,0
Denmark,Europe,386251,6633.466,11186,192.108,1671,2713,46.593,16,0.275,4
Dominican Republic,Americas,381667,3518.346,5395,49.733,693,4130,38.072,22,0.203,1
Honduras,Americas,375381,3789.964,1233,12.449,0,10240,103.386,48,0.485,0
Republic of Korea,Western Pacific,366386,714.632,13297,25.936,1686,2859,5.576,86,0.168,10
Ethiopia,Africa,364960,317.457,3313,2.882,384,6451,5.611,118,0.103,14
Libya,Eastern Mediterranean,356655,5190.509,3774,54.924,0,5078,73.902,96,1.397,0
Mongolia,Western Pacific,346490,10569.23,4930,150.383,0,1638,49.965,51,1.556,0
Republic of Moldova,Europe,337115,8356.918,10021,248.416,1255,7751,192.144,292,7.239,41
Slovenia,Europe,334188,15945.141,15767,752.292,2985,5079,242.335,23,1.097,0
Egypt,Eastern Mediterranean,330084,322.554,6351,6.206,948,18592,18.168,350,0.342,57
Armenia,Europe,306739,10351.494,11371,383.736,0,6284,212.066,271,9.145,0
Oman,Eastern Mediterranean,304281,5958.553,136,2.663,18,4111,80.503,2,0.039,0
Bahrain,Eastern Mediterranean,276794,16266.929,268,15.75,45,1393,81.865,0,0,0
Bosnia and Herzegovina,Europe,253757,7734.572,5067,154.443,999,11528,351.376,182,5.547,33
Kenya,Africa,253293,471.056,665,1.237,142,5276,9.812,21,0.039,3
Qatar,Eastern Mediterranean,239143,8300.542,707,24.54,92,610,21.173,2,0.069,0
Latvia,Europe,217339,11392.874,14766,774.031,2879,3237,169.683,209,10.956,39
Nigeria,Africa,211887,102.788,1592,0.772,89,2895,1.404,39,0.019,0
Zambia,Africa,209722,1140.788,93,0.506,20,3661,19.914,2,0.011,1
Algeria,Africa,206358,470.589,608,1.387,88,5918,13.496,32,0.073,5
Norway,Europe,203742,3795.789,3215,59.897,0,900,16.767,5,0.093,0
North Macedonia,Europe,202203,9705.527,2664,127.869,495,7121,341.8,74,3.552,13
Singapore,Western Pacific,198374,3390.81,25730,439.803,3163,407,6.957,92,1.573,13
Estonia,Europe,193969,14595.373,11930,897.684,1877,1531,115.201,70,5.267,15
Botswana,Africa,186594,7934.677,1675,71.227,0,2406,102.312,10,0.425,0
Uzbekistan,Europe,185963,555.624,2394,7.153,316,1323,3.953,19,0.057,2
Albania,Europe,184887,6424.595,3635,126.312,547,2916,101.327,46,1.598,7
Puerto Rico,Americas,184812,6460.031,665,23.245,90,3234,113.043,13,0.454,2
Kyrgyzstan,Europe,181259,2778.26,696,10.668,73,2671,40.94,18,0.276,3
Australia,Western Pacific,170458,668.466,11992,47.028,1221,1734,6.8,97,0.38,12
Kosovo[1],Europe,160706,8949.66,127,7.073,25,2966,165.175,2,0.111,0
Finland,Europe,157531,2851.089,2681,48.522,0,1158,20.958,1,0.018,0
Afghanistan,Eastern Mediterranean,156210,401.276,270,0.694,14,7272,18.68,19,0.049,3
Mozambique,Africa,151288,484.037,68,0.218,18,1930,6.175,2,0.006,1
Montenegro,Europe,143762,22889.778,3287,523.356,447,2095,333.566,38,6.05,8
Zimbabwe,Africa,132954,894.535,329,2.214,28,4677,31.468,9,0.061,2
Ghana,Africa,130077,418.618,485,1.561,0,1175,3.781,6,0.019,0
Namibia,Africa,128886,5072.445,85,3.345,0,3552,139.793,6,0.236,0
Uganda,Africa,126171,275.838,461,1.008,96,3215,7.029,15,0.033,0
China,Western Pacific,126078,8.569,513,0.035,99,5696,0.387,1,0,0
Cyprus,Europe,124332,14001.273,1064,119.819,155,574,64.639,6,0.676,3
Cambodia,Western Pacific,118522,708.908,750,4.486,95,2788,16.676,54,0.323,7
El Salvador,Americas,113422,1748.665,1132,17.452,0,3622,55.842,58,0.894,0
Cameroon,Africa,102499,386.12,2210,8.325,0,1686,6.351,86,0.324,0
Rwanda,Africa,99681,769.606,329,2.54,53,1328,10.253,8,0.062,0
Jamaica,Americas,89014,3006.045,755,25.497,107,2236,75.511,57,1.925,7
Maldives,South-East Asia,87784,16239.936,713,131.904,0,243,44.955,3,0.555,0
Luxembourg,Europe,81683,13046.152,887,141.669,0,843,134.641,1,0.16,0
Senegal,Africa,73917,441.456,26,0.155,8,1878,11.216,1,0.006,0
Angola,Africa,64374,195.866,599,1.823,73,1708,5.197,13,0.04,1
Malawi,Africa,61794,323.022,37,0.193,5,2300,12.023,4,0.021,1
Côte d’Ivoire,Africa,61292,232.358,114,0.432,21,695,2.635,5,0.019,3
Democratic Republic of the Congo,Africa,57556,64.264,119,0.133,86,1098,1.226,7,0.008,7
Trinidad and Tobago,Americas,57329,4096.427,1892,135.192,208,1696,121.187,57,4.073,14
Réunion,Africa,54668,6106.028,230,25.689,0,374,41.773,2,0.223,0
Guadeloupe,Americas,54288,13567.794,0,0,0,815,203.687,0,0,0
Fiji,Western Pacific,52141,5816.419,127,14.167,0,674,75.186,1,0.112,0
Suriname,Americas,48964,8346.63,986,168.078,65,1090,185.806,32,5.455,8
Eswatini,Africa,46403,3999.693,19,1.638,0,1242,107.054,1,0.086,0
French Polynesia,Western Pacific,45541,16212.069,35,12.46,0,636,226.409,1,0.356,0
French Guiana,Americas,44629,14941.978,569,190.504,0,308,103.12,9,3.013,0
Madagascar,Africa,43626,157.546,4,0.014,0,963,3.478,3,0.011,0
Martinique,Americas,43347,11551.037,444,118.316,0,683,182.005,10,2.665,0
Syrian Arab Republic,Eastern Mediterranean,43146,246.539,1924,10.994,260,2560,14.628,68,0.389,7
Sudan,Eastern Mediterranean,40433,92.209,0,0,0,2995,6.83,0,0,0
Lao People's Democratic Republic,Western Pacific,40271,553.511,4638,63.748,685,65,0.893,13,0.179,3
Cabo Verde,Africa,38207,6871.923,77,13.849,10,349,62.771,0,0,0
Malta,Europe,37639,7314.736,98,19.045,19,461,89.59,1,0.194,0
Mauritania,Africa,37222,800.532,312,6.71,0,794,17.077,2,0.043,0
Guyana,Americas,35548,4519.472,571,72.595,104,913,116.076,19,2.416,3
Gabon,Africa,35525,1596.103,924,41.514,0,239,10.738,15,0.674,0
Guinea,Africa,30653,233.408,27,0.206,0,385,2.932,0,0,0
Papua New Guinea,Western Pacific,29715,332.122,1820,20.342,0,370,4.135,35,0.391,0
Belize,Americas,26798,6739.465,1353,340.268,0,491,123.482,18,4.527,0
United Republic of Tanzania,Africa,26154,43.784,120,0.201,0,725,1.214,1,0.002,0
Togo,Africa,26068,314.879,79,0.954,14,242,2.923,0,0,0
Benin,Africa,24749,204.146,71,0.586,0,161,1.328,0,0,0
Haiti,Americas,23823,208.927,50,0.438,0,662,5.806,0,0,0
Bahamas,Americas,22396,5695.192,137,34.838,30,643,163.512,1,0.254,0
Seychelles,Africa,22265,22639.226,130,132.185,0,114,115.916,0,0,0
Somalia,Eastern Mediterranean,21998,138.411,729,4.587,0,1208,7.601,28,0.176,0
Lesotho,Africa,21635,1009.92,51,2.381,7,658,30.715,2,0.093,0
Mayotte,Africa,20555,7534.41,70,25.658,0,185,67.812,3,1.1,0
Burundi,Africa,20078,168.853,138,1.161,22,14,0.118,0,0,0
Timor-Leste,South-East Asia,19790,1501.011,16,1.214,0,122,9.253,1,0.076,0
Mauritius,Africa,17812,1400.57,669,52.604,114,176,13.839,23,1.809,10
Barbados,Americas,17763,6181.122,2422,842.801,298,153,53.241,23,8.003,1
Congo,Africa,17670,320.22,802,14.534,347,278,5.038,29,0.526,20
Tajikistan,Europe,17486,183.337,0,0,0,125,1.311,0,0,0
Curaçao,Americas,17053,10392.278,69,42.049,0,174,106.037,2,1.219,0
Mali,Africa,16039,79.202,229,1.131,60,563,2.78,5,0.025,0
Aruba,Americas,15882,14875.522,103,96.473,0,171,160.163,0,0,0
Andorra,Europe,15516,20081.538,112,144.956,0,130,168.252,0,0,0
Burkina Faso,Africa,14793,70.769,0,0,0,214,1.024,0,0,0
Guam,Western Pacific,14666,8689.676,321,190.194,0,238,141.016,11,6.518,0
Iceland,Europe,13492,3705.229,515,141.431,0,33,9.063,0,0,0
Djibouti,Eastern Mediterranean,13478,1364.17,34,3.441,0,181,18.32,0,0,0
Equatorial Guinea,Africa,13368,952.826,202,14.398,64,167,11.903,4,0.285,1
Brunei Darussalam,Western Pacific,13130,3001.287,1017,232.468,65,54,12.343,1,0.229,1
Nicaragua,Americas,12866,194.217,317,4.785,0,208,3.14,1,0.015,0
Saint Lucia,Americas,12559,6839.408,133,72.429,23,255,138.868,14,7.624,1
South Sudan,Africa,12402,110.794,109,0.974,17,133,1.188,0,0,0
Central African Republic,Africa,11579,239.742,61,1.263,0,100,2.07,0,0,0
New Caledonia,Western Pacific,10968,3841.708,486,170.229,0,265,92.82,8,2.802,0
Jersey,Europe,10953,10160.859,308,285.725,0,80,74.214,0,0,0
Gambia,Africa,9967,412.427,11,0.455,0,340,14.069,1,0.041,0
Yemen,Eastern Mediterranean,9779,32.787,117,0.392,6,1880,6.303,42,0.141,3
Isle of Man,Europe,9644,11341.613,535,629.175,57,57,67.034,0,0,0
United States Virgin Islands,Americas,7204,6898.731,70,67.034,0,81,77.568,3,2.873,0
Eritrea,Africa,6816,192.194,27,0.761,0,45,1.269,0,0,0
Sierra Leone,Africa,6398,80.206,1,0.013,0,121,1.517,0,0,0
Niger,Africa,6339,26.187,91,0.376,0,212,0.876,5,0.021,0
New Zealand,Western Pacific,6233,129.255,851,17.647,166,28,0.581,0,0,0
Guinea-Bissau,Africa,6133,311.636,2,0.102,0,141,7.165,0,0,0
Gibraltar,Europe,5974,17731.738,132,391.796,15,98,290.879,0,0,0
Grenada,Americas,5840,5190.05,31,27.55,1,198,175.964,2,1.777,0
Liberia,Africa,5812,114.914,1,0.02,0,287,5.675,0,0,0
Bermuda,Americas,5647,9068.135,35,56.204,0,101,162.189,5,8.029,0
San Marino,Europe,5547,16344.511,45,132.595,0,92,271.083,0,0,0
Chad,Africa,5069,30.86,0,0,0,174,1.059,0,0,0
Saint Vincent and the Grenadines,Americas,4951,4462.773,101,91.04,0,66,59.492,6,5.408,0
Dominica,Americas,4783,6643.886,275,381.992,0,32,44.45,2,2.778,0
Sint Maarten,Americas,4488,10465.93,20,46.64,0,75,174.899,0,0,0
Comoros,Africa,4239,487.465,35,4.025,0,147,16.904,0,0,0
Antigua and Barbuda,Americas,4058,4143.818,39,39.825,18,102,104.157,3,3.063,0
Saint Martin,Americas,3920,10139.942,0,0,0,37,95.709,0,0,0
Sao Tome and Principe,Africa,3712,1693.747,15,6.844,2,56,25.552,0,0,0
Liechtenstein,Europe,3662,9451.054,22,56.779,0,58,149.689,0,0,0
Monaco,Europe,3416,8704.515,27,68.8,2,36,91.734,1,2.548,0
Turks and Caicos Islands,Americas,2982,7701.844,26,67.152,2,23,59.404,0,0,0
British Virgin Islands,Americas,2725,9012.137,0,0,0,37,122.367,0,0,0
Saint Kitts and Nevis,Americas,2669,5017.672,44,82.719,1,23,43.24,2,3.76,0
Bhutan,South-East Asia,2621,339.68,4,0.518,0,3,0.389,0,0,0
Bonaire,Americas,2372,11341.143,38,181.688,0,19,90.844,0,0,0
Guernsey,Europe,2117,3283.8,132,204.753,0,23,35.677,1,1.551,0
Faroe Islands,Europe,2082,4260.718,545,1115.318,71,2,4.093,0,0,0
Saint Barthélemy,Americas,1659,16783.005,0,0,0,4,40.465,0,0,0
Cayman Islands,Americas,1650,2510.651,454,690.809,0,2,3.043,0,0,0
Anguilla,Americas,944,6292.494,151,1006.532,52,1,6.666,0,0,0
Greenland,Europe,799,1407.384,68,119.777,0,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,312,542.071,21,36.486,0,3,5.212,0,0,0
Falkland Islands (Malvinas),Americas,69,1981.051,0,0,0,0,0,0,0,0
Montserrat,Americas,41,820.164,0,0,0,1,20.004,0,0,0
Saint Pierre and Miquelon,Americas,32,552.2,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,28,892.004,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,11,569.064,0,0,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,5,1.628,2,0.651,0,0,0,0,0,0
American Samoa,Western Pacific,4,7.247,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.504,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,1,0.946,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
